0210    // 0: 0.12890625000000000000
0210    // 1: 0.12890625000000000000
0204    // 2: 0.12597656250000000000
0204    // 3: 0.12597656250000000000
01F8    // 4: 0.12304687500000000000
01F8    // 5: 0.12304687500000000000
01F8    // 6: 0.12304687500000000000
01F8    // 7: 0.12304687500000000000
0204    // 8: 0.12597656250000000000
021D    // 9: 0.13208007812500000000
0235    // 10: 0.13793945312500000000
024E    // 11: 0.14404296875000000000
0273    // 12: 0.15307617187500000000
02A4    // 13: 0.16503906250000000000
02C9    // 14: 0.17407226562500000000
02FA    // 15: 0.18603515625000000000
031F    // 16: 0.19506835937500000000
0344    // 17: 0.20410156250000000000
0369    // 18: 0.21313476562500000000
0381    // 19: 0.21899414062500000000
039A    // 20: 0.22509765625000000000
03A6    // 21: 0.22802734375000000000
03B3    // 22: 0.23120117187500000000
03BF    // 23: 0.23413085937500000000
03CB    // 24: 0.23706054687500000000
03D8    // 25: 0.24023437500000000000
03D8    // 26: 0.24023437500000000000
03D8    // 27: 0.24023437500000000000
03D8    // 28: 0.24023437500000000000
03D8    // 29: 0.24023437500000000000
03CB    // 30: 0.23706054687500000000
03CB    // 31: 0.23706054687500000000
03BF    // 32: 0.23413085937500000000
03B3    // 33: 0.23120117187500000000
03A6    // 34: 0.22802734375000000000
03A6    // 35: 0.22802734375000000000
039A    // 36: 0.22509765625000000000
039A    // 37: 0.22509765625000000000
038E    // 38: 0.22216796875000000000
0381    // 39: 0.21899414062500000000
0381    // 40: 0.21899414062500000000
0375    // 41: 0.21606445312500000000
0375    // 42: 0.21606445312500000000
0369    // 43: 0.21313476562500000000
0369    // 44: 0.21313476562500000000
035D    // 45: 0.21020507812500000000
035D    // 46: 0.21020507812500000000
0350    // 47: 0.20703125000000000000
0344    // 48: 0.20410156250000000000
0344    // 49: 0.20410156250000000000
0338    // 50: 0.20117187500000000000
032B    // 51: 0.19799804687500000000
031F    // 52: 0.19506835937500000000
0313    // 53: 0.19213867187500000000
0313    // 54: 0.19213867187500000000
0306    // 55: 0.18896484375000000000
02FA    // 56: 0.18603515625000000000
02EE    // 57: 0.18310546875000000000
02EE    // 58: 0.18310546875000000000
02E2    // 59: 0.18017578125000000000
02E2    // 60: 0.18017578125000000000
02D5    // 61: 0.17700195312500000000
02D5    // 62: 0.17700195312500000000
02D5    // 63: 0.17700195312500000000
02D5    // 64: 0.17700195312500000000
02D5    // 65: 0.17700195312500000000
02D5    // 66: 0.17700195312500000000
02D5    // 67: 0.17700195312500000000
02D5    // 68: 0.17700195312500000000
02E2    // 69: 0.18017578125000000000
02E2    // 70: 0.18017578125000000000
02E2    // 71: 0.18017578125000000000
02E2    // 72: 0.18017578125000000000
02E2    // 73: 0.18017578125000000000
02D5    // 74: 0.17700195312500000000
02C9    // 75: 0.17407226562500000000
02B0    // 76: 0.16796875000000000000
02A4    // 77: 0.16503906250000000000
028B    // 78: 0.15893554687500000000
028B    // 79: 0.15893554687500000000
028B    // 80: 0.15893554687500000000
028B    // 81: 0.15893554687500000000
0298    // 82: 0.16210937500000000000
02B0    // 83: 0.16796875000000000000
02D5    // 84: 0.17700195312500000000
02EE    // 85: 0.18310546875000000000
0313    // 86: 0.19213867187500000000
0338    // 87: 0.20117187500000000000
035D    // 88: 0.21020507812500000000
0381    // 89: 0.21899414062500000000
039A    // 90: 0.22509765625000000000
03A6    // 91: 0.22802734375000000000
03BF    // 92: 0.23413085937500000000
03BF    // 93: 0.23413085937500000000
03CB    // 94: 0.23706054687500000000
03CB    // 95: 0.23706054687500000000
03CB    // 96: 0.23706054687500000000
03CB    // 97: 0.23706054687500000000
03BF    // 98: 0.23413085937500000000
03BF    // 99: 0.23413085937500000000
03B3    // 100: 0.23120117187500000000
03B3    // 101: 0.23120117187500000000
03A6    // 102: 0.22802734375000000000
039A    // 103: 0.22509765625000000000
039A    // 104: 0.22509765625000000000
038E    // 105: 0.22216796875000000000
038E    // 106: 0.22216796875000000000
0381    // 107: 0.21899414062500000000
0375    // 108: 0.21606445312500000000
0375    // 109: 0.21606445312500000000
0369    // 110: 0.21313476562500000000
0369    // 111: 0.21313476562500000000
035D    // 112: 0.21020507812500000000
0350    // 113: 0.20703125000000000000
0350    // 114: 0.20703125000000000000
0350    // 115: 0.20703125000000000000
0350    // 116: 0.20703125000000000000
0350    // 117: 0.20703125000000000000
0350    // 118: 0.20703125000000000000
0350    // 119: 0.20703125000000000000
0350    // 120: 0.20703125000000000000
0350    // 121: 0.20703125000000000000
035D    // 122: 0.21020507812500000000
035D    // 123: 0.21020507812500000000
035D    // 124: 0.21020507812500000000
035D    // 125: 0.21020507812500000000
035D    // 126: 0.21020507812500000000
035D    // 127: 0.21020507812500000000
035D    // 128: 0.21020507812500000000
035D    // 129: 0.21020507812500000000
035D    // 130: 0.21020507812500000000
035D    // 131: 0.21020507812500000000
035D    // 132: 0.21020507812500000000
035D    // 133: 0.21020507812500000000
035D    // 134: 0.21020507812500000000
0369    // 135: 0.21313476562500000000
0369    // 136: 0.21313476562500000000
0369    // 137: 0.21313476562500000000
0369    // 138: 0.21313476562500000000
035D    // 139: 0.21020507812500000000
035D    // 140: 0.21020507812500000000
0350    // 141: 0.20703125000000000000
0350    // 142: 0.20703125000000000000
0344    // 143: 0.20410156250000000000
