02D2    // 0: 0.17626953125000000000
02F5    // 1: 0.18481445312500000000
0306    // 2: 0.18896484375000000000
0317    // 3: 0.19311523437500000000
0317    // 4: 0.19311523437500000000
0317    // 5: 0.19311523437500000000
0317    // 6: 0.19311523437500000000
0317    // 7: 0.19311523437500000000
0328    // 8: 0.19726562500000000000
0328    // 9: 0.19726562500000000000
0328    // 10: 0.19726562500000000000
0328    // 11: 0.19726562500000000000
0328    // 12: 0.19726562500000000000
0328    // 13: 0.19726562500000000000
033A    // 14: 0.20166015625000000000
0328    // 15: 0.19726562500000000000
0328    // 16: 0.19726562500000000000
0328    // 17: 0.19726562500000000000
0328    // 18: 0.19726562500000000000
0328    // 19: 0.19726562500000000000
0317    // 20: 0.19311523437500000000
0317    // 21: 0.19311523437500000000
0306    // 22: 0.18896484375000000000
02F5    // 23: 0.18481445312500000000
02F5    // 24: 0.18481445312500000000
02F5    // 25: 0.18481445312500000000
02F5    // 26: 0.18481445312500000000
0306    // 27: 0.18896484375000000000
0306    // 28: 0.18896484375000000000
0317    // 29: 0.19311523437500000000
0317    // 30: 0.19311523437500000000
0328    // 31: 0.19726562500000000000
0328    // 32: 0.19726562500000000000
033A    // 33: 0.20166015625000000000
034B    // 34: 0.20581054687500000000
034B    // 35: 0.20581054687500000000
035C    // 36: 0.20996093750000000000
035C    // 37: 0.20996093750000000000
035C    // 38: 0.20996093750000000000
036D    // 39: 0.21411132812500000000
036D    // 40: 0.21411132812500000000
036D    // 41: 0.21411132812500000000
036D    // 42: 0.21411132812500000000
036D    // 43: 0.21411132812500000000
036D    // 44: 0.21411132812500000000
036D    // 45: 0.21411132812500000000
036D    // 46: 0.21411132812500000000
036D    // 47: 0.21411132812500000000
036D    // 48: 0.21411132812500000000
035C    // 49: 0.20996093750000000000
035C    // 50: 0.20996093750000000000
034B    // 51: 0.20581054687500000000
034B    // 52: 0.20581054687500000000
033A    // 53: 0.20166015625000000000
033A    // 54: 0.20166015625000000000
0328    // 55: 0.19726562500000000000
0317    // 56: 0.19311523437500000000
0306    // 57: 0.18896484375000000000
0306    // 58: 0.18896484375000000000
02F5    // 59: 0.18481445312500000000
02E4    // 60: 0.18066406250000000000
02E4    // 61: 0.18066406250000000000
02C1    // 62: 0.17211914062500000000
02B0    // 63: 0.16796875000000000000
028D    // 64: 0.15942382812500000000
027C    // 65: 0.15527343750000000000
025A    // 66: 0.14697265625000000000
0249    // 67: 0.14282226562500000000
0249    // 68: 0.14282226562500000000
0249    // 69: 0.14282226562500000000
0249    // 70: 0.14282226562500000000
025A    // 71: 0.14697265625000000000
028D    // 72: 0.15942382812500000000
02C1    // 73: 0.17211914062500000000
02F5    // 74: 0.18481445312500000000
033A    // 75: 0.20166015625000000000
037E    // 76: 0.21826171875000000000
03B2    // 77: 0.23095703125000000000
03E6    // 78: 0.24365234375000000000
0408    // 79: 0.25195312500000000000
0419    // 80: 0.25610351562500000000
0419    // 81: 0.25610351562500000000
0419    // 82: 0.25610351562500000000
0419    // 83: 0.25610351562500000000
0419    // 84: 0.25610351562500000000
0408    // 85: 0.25195312500000000000
0408    // 86: 0.25195312500000000000
03F7    // 87: 0.24780273437500000000
03E6    // 88: 0.24365234375000000000
03E6    // 89: 0.24365234375000000000
03D4    // 90: 0.23925781250000000000
03D4    // 91: 0.23925781250000000000
03C3    // 92: 0.23510742187500000000
03C3    // 93: 0.23510742187500000000
03C3    // 94: 0.23510742187500000000
03C3    // 95: 0.23510742187500000000
03B2    // 96: 0.23095703125000000000
03B2    // 97: 0.23095703125000000000
03B2    // 98: 0.23095703125000000000
03B2    // 99: 0.23095703125000000000
03B2    // 100: 0.23095703125000000000
03A1    // 101: 0.22680664062500000000
03A1    // 102: 0.22680664062500000000
03A1    // 103: 0.22680664062500000000
0390    // 104: 0.22265625000000000000
0390    // 105: 0.22265625000000000000
0390    // 106: 0.22265625000000000000
037E    // 107: 0.21826171875000000000
037E    // 108: 0.21826171875000000000
036D    // 109: 0.21411132812500000000
035C    // 110: 0.20996093750000000000
035C    // 111: 0.20996093750000000000
034B    // 112: 0.20581054687500000000
033A    // 113: 0.20166015625000000000
033A    // 114: 0.20166015625000000000
0328    // 115: 0.19726562500000000000
0328    // 116: 0.19726562500000000000
0328    // 117: 0.19726562500000000000
0317    // 118: 0.19311523437500000000
0317    // 119: 0.19311523437500000000
0317    // 120: 0.19311523437500000000
0317    // 121: 0.19311523437500000000
0317    // 122: 0.19311523437500000000
0317    // 123: 0.19311523437500000000
0317    // 124: 0.19311523437500000000
0317    // 125: 0.19311523437500000000
0317    // 126: 0.19311523437500000000
0317    // 127: 0.19311523437500000000
0317    // 128: 0.19311523437500000000
0317    // 129: 0.19311523437500000000
0317    // 130: 0.19311523437500000000
0306    // 131: 0.18896484375000000000
0306    // 132: 0.18896484375000000000
0306    // 133: 0.18896484375000000000
02F5    // 134: 0.18481445312500000000
02F5    // 135: 0.18481445312500000000
02F5    // 136: 0.18481445312500000000
02F5    // 137: 0.18481445312500000000
02F5    // 138: 0.18481445312500000000
02F5    // 139: 0.18481445312500000000
02F5    // 140: 0.18481445312500000000
02F5    // 141: 0.18481445312500000000
02F5    // 142: 0.18481445312500000000
02F5    // 143: 0.18481445312500000000
02F5    // 144: 0.18481445312500000000
02F5    // 145: 0.18481445312500000000
02E4    // 146: 0.18066406250000000000
02E4    // 147: 0.18066406250000000000
02D2    // 148: 0.17626953125000000000
02D2    // 149: 0.17626953125000000000
02D2    // 150: 0.17626953125000000000
02C1    // 151: 0.17211914062500000000
02B0    // 152: 0.16796875000000000000
029F    // 153: 0.16381835937500000000
028D    // 154: 0.15942382812500000000
026B    // 155: 0.15112304687500000000
025A    // 156: 0.14697265625000000000
025A    // 157: 0.14697265625000000000
025A    // 158: 0.14697265625000000000
025A    // 159: 0.14697265625000000000
026B    // 160: 0.15112304687500000000
027C    // 161: 0.15527343750000000000
029F    // 162: 0.16381835937500000000
02C1    // 163: 0.17211914062500000000
02E4    // 164: 0.18066406250000000000
02F5    // 165: 0.18481445312500000000
02F5    // 166: 0.18481445312500000000
02F5    // 167: 0.18481445312500000000
02E4    // 168: 0.18066406250000000000
02E4    // 169: 0.18066406250000000000
02E4    // 170: 0.18066406250000000000
0328    // 171: 0.19726562500000000000
03C3    // 172: 0.23510742187500000000
04C5    // 173: 0.29809570312500000000
062F    // 174: 0.38647460937500000000
07EE    // 175: 0.49560546875000000000
09E1    // 176: 0.61743164062500000000
0BD4    // 177: 0.73925781250000000000
0D94    // 178: 0.84863281250000000000
0EFD    // 179: 0.93676757812500000000
1000    // 180: 1.00000000000000000000
1000    // 181: 1.00000000000000000000
1000    // 182: 1.00000000000000000000
0F87    // 183: 0.97045898437500000000
0E40    // 184: 0.89062500000000000000
0CA3    // 185: 0.78979492187500000000
0AB0    // 186: 0.66796875000000000000
08AC    // 187: 0.54199218750000000000
06B9    // 188: 0.42016601562500000000
04F9    // 189: 0.31079101562500000000
037E    // 190: 0.21826171875000000000
0249    // 191: 0.14282226562500000000
0169    // 192: 0.08813476562500000000
00BD    // 193: 0.04614257812500000000
0056    // 194: 0.02099609375000000000
0000    // 195: 0.00000000000000000000
0000    // 196: 0.00000000000000000000
0000    // 197: 0.00000000000000000000
0011    // 198: 0.00415039062500000000
0056    // 199: 0.02099609375000000000
00AC    // 200: 0.04199218750000000000
0102    // 201: 0.06298828125000000000
0158    // 202: 0.08398437500000000000
019D    // 203: 0.10083007812500000000
01D0    // 204: 0.11328125000000000000
0204    // 205: 0.12597656250000000000
0215    // 206: 0.13012695312500000000
0237    // 207: 0.13842773437500000000
0249    // 208: 0.14282226562500000000
025A    // 209: 0.14697265625000000000
025A    // 210: 0.14697265625000000000
026B    // 211: 0.15112304687500000000
026B    // 212: 0.15112304687500000000
026B    // 213: 0.15112304687500000000
026B    // 214: 0.15112304687500000000
026B    // 215: 0.15112304687500000000
026B    // 216: 0.15112304687500000000
027C    // 217: 0.15527343750000000000
027C    // 218: 0.15527343750000000000
028D    // 219: 0.15942382812500000000
028D    // 220: 0.15942382812500000000
028D    // 221: 0.15942382812500000000
028D    // 222: 0.15942382812500000000
028D    // 223: 0.15942382812500000000
028D    // 224: 0.15942382812500000000
028D    // 225: 0.15942382812500000000
027C    // 226: 0.15527343750000000000
026B    // 227: 0.15112304687500000000
026B    // 228: 0.15112304687500000000
025A    // 229: 0.14697265625000000000
025A    // 230: 0.14697265625000000000
0249    // 231: 0.14282226562500000000
0249    // 232: 0.14282226562500000000
0237    // 233: 0.13842773437500000000
0237    // 234: 0.13842773437500000000
0226    // 235: 0.13427734375000000000
0215    // 236: 0.13012695312500000000
0204    // 237: 0.12597656250000000000
0204    // 238: 0.12597656250000000000
01F3    // 239: 0.12182617187500000000
01F3    // 240: 0.12182617187500000000
01F3    // 241: 0.12182617187500000000
01F3    // 242: 0.12182617187500000000
0204    // 243: 0.12597656250000000000
0215    // 244: 0.13012695312500000000
0249    // 245: 0.14282226562500000000
026B    // 246: 0.15112304687500000000
029F    // 247: 0.16381835937500000000
02D2    // 248: 0.17626953125000000000
0317    // 249: 0.19311523437500000000
034B    // 250: 0.20581054687500000000
037E    // 251: 0.21826171875000000000
03A1    // 252: 0.22680664062500000000
03C3    // 253: 0.23510742187500000000
03E6    // 254: 0.24365234375000000000
0408    // 255: 0.25195312500000000000
0408    // 256: 0.25195312500000000000
0419    // 257: 0.25610351562500000000
042B    // 258: 0.26049804687500000000
042B    // 259: 0.26049804687500000000
042B    // 260: 0.26049804687500000000
042B    // 261: 0.26049804687500000000
042B    // 262: 0.26049804687500000000
042B    // 263: 0.26049804687500000000
042B    // 264: 0.26049804687500000000
0419    // 265: 0.25610351562500000000
0419    // 266: 0.25610351562500000000
0408    // 267: 0.25195312500000000000
03F7    // 268: 0.24780273437500000000
03F7    // 269: 0.24780273437500000000
03E6    // 270: 0.24365234375000000000
03E6    // 271: 0.24365234375000000000
