03B8    // 0: 0.23242187500000000000
03B8    // 1: 0.23242187500000000000
03B4    // 2: 0.23144531250000000000
03B4    // 3: 0.23144531250000000000
03B0    // 4: 0.23046875000000000000
03B0    // 5: 0.23046875000000000000
03B0    // 6: 0.23046875000000000000
03B0    // 7: 0.23046875000000000000
03B4    // 8: 0.23144531250000000000
03BC    // 9: 0.23339843750000000000
03C4    // 10: 0.23535156250000000000
03CC    // 11: 0.23730468750000000000
03D8    // 12: 0.24023437500000000000
03E8    // 13: 0.24414062500000000000
03F4    // 14: 0.24707031250000000000
0404    // 15: 0.25097656250000000000
0410    // 16: 0.25390625000000000000
041C    // 17: 0.25683593750000000000
0428    // 18: 0.25976562500000000000
0430    // 19: 0.26171875000000000000
0438    // 20: 0.26367187500000000000
043C    // 21: 0.26464843750000000000
0440    // 22: 0.26562500000000000000
0444    // 23: 0.26660156250000000000
0448    // 24: 0.26757812500000000000
044C    // 25: 0.26855468750000000000
044C    // 26: 0.26855468750000000000
044C    // 27: 0.26855468750000000000
044C    // 28: 0.26855468750000000000
044C    // 29: 0.26855468750000000000
0448    // 30: 0.26757812500000000000
0448    // 31: 0.26757812500000000000
0444    // 32: 0.26660156250000000000
0440    // 33: 0.26562500000000000000
043C    // 34: 0.26464843750000000000
043C    // 35: 0.26464843750000000000
0438    // 36: 0.26367187500000000000
0438    // 37: 0.26367187500000000000
0434    // 38: 0.26269531250000000000
0430    // 39: 0.26171875000000000000
0430    // 40: 0.26171875000000000000
042C    // 41: 0.26074218750000000000
042C    // 42: 0.26074218750000000000
0428    // 43: 0.25976562500000000000
0428    // 44: 0.25976562500000000000
0424    // 45: 0.25878906250000000000
0424    // 46: 0.25878906250000000000
0420    // 47: 0.25781250000000000000
041C    // 48: 0.25683593750000000000
041C    // 49: 0.25683593750000000000
0418    // 50: 0.25585937500000000000
0414    // 51: 0.25488281250000000000
0410    // 52: 0.25390625000000000000
040C    // 53: 0.25292968750000000000
040C    // 54: 0.25292968750000000000
0408    // 55: 0.25195312500000000000
0404    // 56: 0.25097656250000000000
0400    // 57: 0.25000000000000000000
0400    // 58: 0.25000000000000000000
03FC    // 59: 0.24902343750000000000
03FC    // 60: 0.24902343750000000000
03F8    // 61: 0.24804687500000000000
03F8    // 62: 0.24804687500000000000
03F8    // 63: 0.24804687500000000000
03F8    // 64: 0.24804687500000000000
03F8    // 65: 0.24804687500000000000
03F8    // 66: 0.24804687500000000000
03F8    // 67: 0.24804687500000000000
03F8    // 68: 0.24804687500000000000
03FC    // 69: 0.24902343750000000000
03FC    // 70: 0.24902343750000000000
03FC    // 71: 0.24902343750000000000
03FC    // 72: 0.24902343750000000000
03FC    // 73: 0.24902343750000000000
03F8    // 74: 0.24804687500000000000
03F4    // 75: 0.24707031250000000000
03EC    // 76: 0.24511718750000000000
03E8    // 77: 0.24414062500000000000
03E0    // 78: 0.24218750000000000000
03E0    // 79: 0.24218750000000000000
03E0    // 80: 0.24218750000000000000
03E0    // 81: 0.24218750000000000000
03E4    // 82: 0.24316406250000000000
03EC    // 83: 0.24511718750000000000
03F8    // 84: 0.24804687500000000000
0400    // 85: 0.25000000000000000000
040C    // 86: 0.25292968750000000000
0418    // 87: 0.25585937500000000000
0424    // 88: 0.25878906250000000000
0430    // 89: 0.26171875000000000000
0438    // 90: 0.26367187500000000000
043C    // 91: 0.26464843750000000000
0444    // 92: 0.26660156250000000000
0444    // 93: 0.26660156250000000000
0448    // 94: 0.26757812500000000000
0448    // 95: 0.26757812500000000000
0448    // 96: 0.26757812500000000000
0448    // 97: 0.26757812500000000000
0444    // 98: 0.26660156250000000000
0444    // 99: 0.26660156250000000000
0440    // 100: 0.26562500000000000000
0440    // 101: 0.26562500000000000000
043C    // 102: 0.26464843750000000000
0438    // 103: 0.26367187500000000000
0438    // 104: 0.26367187500000000000
0434    // 105: 0.26269531250000000000
0434    // 106: 0.26269531250000000000
0430    // 107: 0.26171875000000000000
042C    // 108: 0.26074218750000000000
042C    // 109: 0.26074218750000000000
0428    // 110: 0.25976562500000000000
0428    // 111: 0.25976562500000000000
0424    // 112: 0.25878906250000000000
0420    // 113: 0.25781250000000000000
0420    // 114: 0.25781250000000000000
0420    // 115: 0.25781250000000000000
0420    // 116: 0.25781250000000000000
0420    // 117: 0.25781250000000000000
0420    // 118: 0.25781250000000000000
0420    // 119: 0.25781250000000000000
0420    // 120: 0.25781250000000000000
0420    // 121: 0.25781250000000000000
0424    // 122: 0.25878906250000000000
0424    // 123: 0.25878906250000000000
0424    // 124: 0.25878906250000000000
0424    // 125: 0.25878906250000000000
0424    // 126: 0.25878906250000000000
0424    // 127: 0.25878906250000000000
0424    // 128: 0.25878906250000000000
0424    // 129: 0.25878906250000000000
0424    // 130: 0.25878906250000000000
0424    // 131: 0.25878906250000000000
0424    // 132: 0.25878906250000000000
0424    // 133: 0.25878906250000000000
0424    // 134: 0.25878906250000000000
0428    // 135: 0.25976562500000000000
0428    // 136: 0.25976562500000000000
0428    // 137: 0.25976562500000000000
0428    // 138: 0.25976562500000000000
0424    // 139: 0.25878906250000000000
0424    // 140: 0.25878906250000000000
0420    // 141: 0.25781250000000000000
0420    // 142: 0.25781250000000000000
041C    // 143: 0.25683593750000000000
0418    // 144: 0.25585937500000000000
0414    // 145: 0.25488281250000000000
