04F8    // 114: 0.31054687500000000000
04F4    // 115: 0.30957031250000000000
04F4    // 116: 0.30957031250000000000
04F4    // 117: 0.30957031250000000000
04F0    // 118: 0.30859375000000000000
04F0    // 119: 0.30859375000000000000
04F0    // 120: 0.30859375000000000000
04F0    // 121: 0.30859375000000000000
04F0    // 122: 0.30859375000000000000
04F0    // 123: 0.30859375000000000000
04F0    // 124: 0.30859375000000000000
04F0    // 125: 0.30859375000000000000
04F0    // 126: 0.30859375000000000000
04F0    // 127: 0.30859375000000000000
04F0    // 128: 0.30859375000000000000
04F0    // 129: 0.30859375000000000000
04F0    // 130: 0.30859375000000000000
04EC    // 131: 0.30761718750000000000
04EC    // 132: 0.30761718750000000000
04EC    // 133: 0.30761718750000000000
04E8    // 134: 0.30664062500000000000
04E8    // 135: 0.30664062500000000000
04E8    // 136: 0.30664062500000000000
04E8    // 137: 0.30664062500000000000
04E8    // 138: 0.30664062500000000000
04E8    // 139: 0.30664062500000000000
04E8    // 140: 0.30664062500000000000
04E8    // 141: 0.30664062500000000000
04E8    // 142: 0.30664062500000000000
04E8    // 143: 0.30664062500000000000
04E8    // 144: 0.30664062500000000000
04E8    // 145: 0.30664062500000000000
04E4    // 146: 0.30566406250000000000
04E4    // 147: 0.30566406250000000000
04E0    // 148: 0.30468750000000000000
04E0    // 149: 0.30468750000000000000
04E0    // 150: 0.30468750000000000000
04DC    // 151: 0.30371093750000000000
04D8    // 152: 0.30273437500000000000
04D4    // 153: 0.30175781250000000000
04D0    // 154: 0.30078125000000000000
04C8    // 155: 0.29882812500000000000
04C4    // 156: 0.29785156250000000000
04C4    // 157: 0.29785156250000000000
04C4    // 158: 0.29785156250000000000
04C4    // 159: 0.29785156250000000000
04C8    // 160: 0.29882812500000000000
04CC    // 161: 0.29980468750000000000
04D4    // 162: 0.30175781250000000000
04DC    // 163: 0.30371093750000000000
04E4    // 164: 0.30566406250000000000
04E8    // 165: 0.30664062500000000000
04E8    // 166: 0.30664062500000000000
04E8    // 167: 0.30664062500000000000
04E4    // 168: 0.30566406250000000000
04E4    // 169: 0.30566406250000000000
04E4    // 170: 0.30566406250000000000
04F4    // 171: 0.30957031250000000000
0518    // 172: 0.31835937500000000000
0554    // 173: 0.33300781250000000000
05A8    // 174: 0.35351562500000000000
0610    // 175: 0.37890625000000000000
0684    // 176: 0.40722656250000000000
06F8    // 177: 0.43554687500000000000
0760    // 178: 0.46093750000000000000
07B4    // 179: 0.48144531250000000000
07F0    // 180: 0.49609375000000000000
07F0    // 181: 0.49609375000000000000
07F0    // 182: 0.49609375000000000000
07D4    // 183: 0.48925781250000000000
0788    // 184: 0.47070312500000000000
0728    // 185: 0.44726562500000000000
06B4    // 186: 0.41894531250000000000
063C    // 187: 0.38964843750000000000
05C8    // 188: 0.36132812500000000000
0560    // 189: 0.33593750000000000000
0508    // 190: 0.31445312500000000000
04C0    // 191: 0.29687500000000000000
048C    // 192: 0.28417968750000000000
0464    // 193: 0.27441406250000000000
044C    // 194: 0.26855468750000000000
0438    // 195: 0.26367187500000000000
0438    // 196: 0.26367187500000000000
0438    // 197: 0.26367187500000000000
043C    // 198: 0.26464843750000000000
044C    // 199: 0.26855468750000000000
0460    // 200: 0.27343750000000000000
0474    // 201: 0.27832031250000000000
0488    // 202: 0.28320312500000000000
0498    // 203: 0.28710937500000000000
04A4    // 204: 0.29003906250000000000
04B0    // 205: 0.29296875000000000000
04B4    // 206: 0.29394531250000000000
04BC    // 207: 0.29589843750000000000
04C0    // 208: 0.29687500000000000000
04C4    // 209: 0.29785156250000000000
04C4    // 210: 0.29785156250000000000
04C8    // 211: 0.29882812500000000000
04C8    // 212: 0.29882812500000000000
04C8    // 213: 0.29882812500000000000
04C8    // 214: 0.29882812500000000000
04C8    // 215: 0.29882812500000000000
04C8    // 216: 0.29882812500000000000
04CC    // 217: 0.29980468750000000000
04CC    // 218: 0.29980468750000000000
04D0    // 219: 0.30078125000000000000
04D0    // 220: 0.30078125000000000000
04D0    // 221: 0.30078125000000000000
04D0    // 222: 0.30078125000000000000
04D0    // 223: 0.30078125000000000000
04D0    // 224: 0.30078125000000000000
04D0    // 225: 0.30078125000000000000
04CC    // 226: 0.29980468750000000000
04C8    // 227: 0.29882812500000000000
04C8    // 228: 0.29882812500000000000
04C4    // 229: 0.29785156250000000000
04C4    // 230: 0.29785156250000000000
04C0    // 231: 0.29687500000000000000
04C0    // 232: 0.29687500000000000000
04BC    // 233: 0.29589843750000000000
04BC    // 234: 0.29589843750000000000
04B8    // 235: 0.29492187500000000000
04B4    // 236: 0.29394531250000000000
04B0    // 237: 0.29296875000000000000
04B0    // 238: 0.29296875000000000000
04AC    // 239: 0.29199218750000000000
04AC    // 240: 0.29199218750000000000
04AC    // 241: 0.29199218750000000000
04AC    // 242: 0.29199218750000000000
04B0    // 243: 0.29296875000000000000
04B4    // 244: 0.29394531250000000000
04C0    // 245: 0.29687500000000000000
04C8    // 246: 0.29882812500000000000
04D4    // 247: 0.30175781250000000000
04E0    // 248: 0.30468750000000000000
04F0    // 249: 0.30859375000000000000
04FC    // 250: 0.31152343750000000000
0508    // 251: 0.31445312500000000000
0510    // 252: 0.31640625000000000000
0518    // 253: 0.31835937500000000000
0520    // 254: 0.32031250000000000000
0528    // 255: 0.32226562500000000000
0528    // 256: 0.32226562500000000000
052C    // 257: 0.32324218750000000000
0530    // 258: 0.32421875000000000000
0530    // 259: 0.32421875000000000000
0530    // 260: 0.32421875000000000000
0530    // 261: 0.32421875000000000000
0530    // 262: 0.32421875000000000000
0530    // 263: 0.32421875000000000000
0530    // 264: 0.32421875000000000000
052C    // 265: 0.32324218750000000000
052C    // 266: 0.32324218750000000000
0528    // 267: 0.32226562500000000000
0524    // 268: 0.32128906250000000000
0524    // 269: 0.32128906250000000000
0520    // 270: 0.32031250000000000000
0520    // 271: 0.32031250000000000000
051C    // 272: 0.31933593750000000000
051C    // 273: 0.31933593750000000000
0518    // 274: 0.31835937500000000000
0518    // 275: 0.31835937500000000000
0518    // 276: 0.31835937500000000000
0518    // 277: 0.31835937500000000000
0518    // 278: 0.31835937500000000000
0518    // 279: 0.31835937500000000000
0518    // 280: 0.31835937500000000000
0518    // 281: 0.31835937500000000000
0518    // 282: 0.31835937500000000000
0518    // 283: 0.31835937500000000000
0518    // 284: 0.31835937500000000000
0518    // 285: 0.31835937500000000000
051C    // 286: 0.31933593750000000000
051C    // 287: 0.31933593750000000000
051C    // 288: 0.31933593750000000000
051C    // 289: 0.31933593750000000000
051C    // 290: 0.31933593750000000000
051C    // 291: 0.31933593750000000000
0518    // 292: 0.31835937500000000000
0514    // 293: 0.31738281250000000000
0514    // 294: 0.31738281250000000000
0510    // 295: 0.31640625000000000000
050C    // 296: 0.31542968750000000000
0504    // 297: 0.31347656250000000000
0504    // 298: 0.31347656250000000000
0500    // 299: 0.31250000000000000000
04FC    // 300: 0.31152343750000000000
04FC    // 301: 0.31152343750000000000
